Number,Word,Rating

1,requirement,7

2,provisions,16

3,demanded,3

4,reform,11

5,conservative,8

6,instilled,20

7,brief,2

8,confidence,1

9,stepping,3

10,u-turn,4

11,refusal,3

12,rescue,1

13,stake,5

14,converting,4

15,state-backed,2

16,shares,1

17,reportedly,1

18,boost,6

19,investment,1

20,transaction,7

21,refocussed,16

22,potential,5

23,conservative,2

24,determined,2

25,slash,12

26,santander,1

27,eurozones,7

28,capital,1

29,slumped,16

30,slid,1

31,skidded,15

32,bankia,1

33,stake,5

34,crisis,3

35,measure,1

36,crippling,19

37,merger,17

38,exposure,12

39,sector,1

40,classed,2

41,problematic,14

42,hangover,18

43,extends,2

44,sector,3

45,problematic,5

46,assets,3

47,seized,14

48,portfolio,10

49,announcing,7

50,opposition,4

51,rally,2

52,authorities,5

53,interior,3

54,troops,1

55,deployed,17

56,detained,17

57,protest,4

58,included,1

59,flare-type,10

60,fireworks,2

61,pro-kremlin,2

62,spokesman,4

63,demonstrators,14

64,attempt,1

65,unsanctioned,18

66,rally,2

67,protest,2

68,rallies,4

69,agreement,1

70,sought,13

71,u.s.-backed,1

72,perpetually,14

73,skittish,17

74,publicly,2

75,voiced,1

76,befall,20

77,recognize,6

78,responsibly,4

79,rationale,19

80,reassure,10

81,withdrawal,9

82,withdrew,7

83,anti-soviet,1

84,militia,4

85,stage,1

86,taliban,1

87,allowed,1

88,turkish,1

89,journalists,2

90,detained,19

91,negotiate,20

92,release,3

93,authorities,2

94,abducted,18

95,militiamen,14

96,blocked,2

97,abducting,14

98,reporters,1

99,separately,3

100,prison,1

101,slept,2

102,concrete,4

103,appreciate,16

104,relations,3

105,strained,18

106,dispute,9

107,censorship,20

108,security,1

109,spokeswoman,7

110,cleared,1

111,manufacturing,8

112,consumer,3

113,devices,1

114,access,3

115,motorola,1

116,patents,9

117,ambassador,9

118,embassy,3

119,staffers,12

120,fled,2

121,thousands,1

122,egyptians,1

123,attacked,1

124,embassy,5

125,condition,1

126,anonymity,17

127,authorized,9

128,press,1

129,witnesses,3

130,insurgents,18

131,veils,9

132,conceal,16

133,weapons,1

134,journal,2

135,insurgent,3

136,detonated,15

137,insurgents,6

138,compound,7

139,laundry,2

140,maintenance,1

141,pact,4

142,vulnerable,14

143,resilient,12

144,insurgency,5

145,responsibility,1

146,insurgents,4

147,disguised,11

148,outskirts,15

149,gurkha,1

150,passers-by,2

151,strategic,9

152,pact,1

153,combat,3

154,troops,1

155,afterward,7

156,knocked,5

157,neighbours,5

158,obeyed,14

159,according,3

160,neighbour,1

161,heard,2

162,gunshots,3

163,arrived,1

164,pebbles,1

165,suffering,8

166,gunshot,1

167,wounds,2

168,heard,1

169,teen,1

170,ambulance,8

171,ambulance,2

172,emerged,16

173,approaching,11

174,gunshot,1

175,flared,20

176,tripoli,1

177,wounded,3

178,victim,3

179,neighbourhood,2

180,populated,3

181,sect,5

182,offshoot,18

183,battles,2

184,erupted,14

185,neighbourhood,1

186,populated,4

187,sunni,1

188,opposed,2

189,regime,8

190,security,1

191,sunni,1

192,islamist,1

193,suspicion,18

194,linked,2

195,terrorist,1

196,diplomatic,7

197,ministers,1

198,fresh,2

199,sanctions,12

200,relentless,11

201,repression,12

202,dissidents,20

203,regime,2

204,scheduled,8

205,combat,5

206,operations,1

207,recognize,8

208,wrenching,20

209,fallen,4

210,vowed,12

211,compromise,16

212,sought,6

213,americans,1

214,absolutely,2

215,national,1

216,afghanistan,1

217,responsibly,5

218,recent,1

219,fierce,10

220,clashes,1

221,regime,9

222,rebels,5

223,wounded,4

224,watchdog,14

225,slapped,5

226,sanctions,8

227,regime,2

228,observatory,5

229,carriers,1

230,destroyed,1

231,clashes,1

232,outskirts,13

233,restive,10

234,province,3

235,launched,1

236,offensive,5

237,resistance,4

238,rebels,2

239,ouster,14

240,observatory,2

241,wounded,1

242,shelling,10

243,despite,3

244,month-old,1

245,ceasefire,14

246,brokered,7

247,envoy,4

248,six-point,1

249,violence,1

250,swept,5

251,revolt,6

252,erupted,11

253,regime,2

254,foreign,1

255,ministry,1

256,officials,1

257,indicated,9

258,symbolic,4

259,gesture,6

260,signal,2

261,desire,2

262,neighbor,1

263,normalcy,17

264,permanent,4

265,envoy,14

266,sources,1

267,claimed,2

268,respond,1

269,request,1

270,regarding,1

271,arrangements,6

272,ambassador,1

273,ambassadors,4

274,residence,2

275,regarding,1

276,embassy,1

277,embassys,5

278,planned,1

279,replace,2

280,levanon,1

281,ambassador,3

282,expected,3

283,arrangements,3

284,setup,1

285,requests,1

286,credence,13

287,blames,4

288,bloodshed,13

289,extremists,12

290,foreign,1

291,plot,1

292,destabilize,19

293,stemming,20

294,uprising,4

295,clashes,4

296,battles,1

297,pitting,11

298,lebanese,1

299,uprising,6

300,alawite,2

301,regime,11

302,raising,1

303,toll,1

304,authorities,1

305,detained,16

306,national,3

307,violence,1

308,undermines,18

309,supposed,1

310,crisis,4

311,cease-fire,15

312,regime,8

313,nationalisation,18

314,option,1

315,gravity,11

316,refinance,18

317,debt,2

318,effectively,1

319,anxiety,6

320,lenders,2

321,viability,13

322,toxic,2

323,assets,3

324,decade-long,7

325,bubble,2

326,burst,2

327,overspending,11

328,fanned,12

329,eurozone,6

330,debt,1

331,crisis,4

332,assets,1

333,anniversary,8

334,crocker,3

335,sole,10

336,prevailing,20

337,partners,1

338,position,1

339,perfection,5

340,afghanistan,1

341,left,1

342,repeat,1

343,withdrawal,14

344,backers,8

345,withdrawal,2

